化学式,dHmix,dSmix,dGmix,电子数差,原子尺寸差,电子浓度,元素种类,密度,熔点
Fe36Ni18Mn33Al13,-9.798,10.87153784,343.5855689,0.148163558,5.351956687,7.38,4,6.992100479,1310.79
CoCrFeNiTi0.2,-7.346938776,12.56917544,408.1727091,0.111625792,3.658435996,8.047619048,5,7.926436279,1567.326205
CoCrNi,-4.89,9.13,499.23715,0.11,1.12,8.33,3,8.28,1892
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
CoCrFeNi,-3.75,11.53,489.4027225,0.1,1.03,8.25,4,8.17,1871.75
AlCoCrFeMo0.05Ni2,-11.94453931,13.2671945,361.0007326,0.124400344,5.422491548,7.652892562,6,7.083622569,1389.938697
CoCrCuFeNi,3.2,13.38,459.257999,0.09,1.07,8.8,5,8.33,1768.95
Al0.1CoCrFeNi,-5.04,12.2,401.2921017,0.1,2.3,8.12,5,7.99,1538.71
CrCoFeNiMn,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
MoNbTaVW,-4.64,13.38,769.197496,0.34,3.21,5.4,5,12.36,2962.8
HfNbTaTiZrW,-3.222222222,14.8975162,639.1645544,0.354483192,5.720897965,4.666666667,6,11.20730067,2476.410793
Cr20Fe6Co34Ni34Mo6,-4.2928,11.58277271,419.0245945,0.120166551,2.18471415,8.5,5,8.587067955,1602.912293
Ti40Zr10Ni40Co5Cu5,-34.1,10.50003754,404.8157454,0.212569988,9.260965256,7,5,6.471585556,1542.285346
Al10Co25Cr8Fe15Ni36Ti6,-13.9748,13.30361728,369.6710207,0.122434105,5.655462385,8.07,6,7.388644866,1423.527704
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
Hf0.75NbTa0.5Ti1.5Zr1.25,2.36,12.84151644,557.1020651,0.118594899,4.915964063,4.3,4,8.431908695,2141.385887
HfMoNbTiZr,-1.6,13.38,634.561604,0.31,5.06,4.6,5,8.7,2444.2
HfNbTaZr,3.5,11.53,697.736195,0.12,3.95,4.5,4,11.06,2668.5
AlCrMoNbTi,-13.6,13.38,555.5965658,0.23,4.87,4.8,5,6.57,2140.09
Cr10Nb30Ti30Zr30,-0.96,10.92382327,518.8312471,0.121082616,7.023519911,4.5,4,6.594663456,1979.7
AlLiMgZnSn,-6.08,13.38,182.1381196,0.33,5.16,4.4,5,3.89,701.58
AlTiNiCuFe,-17.6,13.38161053,320.041837,0.153544782,7.162214461,7.2,5,6.121404056,1232.807266
AlCoCrCuFeNi,-4.78,14.9,420.623371,0.12,4.82,7.83,6,7.07,1629.71
TiZrNbMoV0.5,-2.666666667,13.14594406,553.6381766,0.289524941,6.554204762,4.777777778,5,7.219283319,2130.583805
Fe40Mn27Ni26Co5Cr2,-3.4172,10.79468703,374.5031969,0.142942331,3.715774934,8.26,5,8.030897709,1428.295292
Al0.5CoCrFeNi,-9.09,13.15,459.275785,0.11,4.22,7.67,5,7.33,1767.5
HfNbTiZr,2.5,11.53,609.5544375,0.13,4.12,4.25,4,8.4,2331.25
CoCrNi,-4.89,9.13,499.23715,0.11,1.12,8.33,3,8.28,1892
VNbMoTaW,-4.64,13.38,769.197496,0.34,3.21,5.4,5,12.36,2962.8
CoCrFeNiV,-8.96,13.38161053,419.2797342,0.115134704,2.213558747,7.6,5,7.70338428,1615.019241
HfMo0.5NbTiV0.5,-2.188365651,12.6484181,544.2137787,0.165384845,8.125950407,4.394736842,5,8.294155814,2090.311736
CoCrFeNiMnC0.01,-4.554563528,13.47464902,386.5139946,0.142584003,3.704143663,7.992015968,6,8.017003668,1489.328683
CoFeNiSi0.5,-19.42857143,11.23935679,387.9846334,0.031943828,2.657710254,8.285714286,4,7.119174974,1482.285714
Co10Cr25Fe20Mn5Ni40,-4.76,11.76515168,401.9300538,0.116510729,1.823651253,8.35,5,8.161002668,1538.595698
CoCrFeNi,-3.75,11.53,489.4027225,0.1,1.03,8.25,4,8.17,1871.75
Fe36Ni18Mn33Al13Ti4,-11.8635355,11.80885555,342.0813631,0.149505967,5.723897154,7.25,5,6.861238055,1309.742822
CoCrMnNi,-5.5,11.52629192,395.4734835,0.150499169,3.446992938,8,4,8.065458132,1512.5
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
AlNbTiVZr0.25,-17.38408304,12.70837022,428.692442,0.070332871,4.966561777,4.235294118,5,5.587998462,1647.036543
HfMoNbTiZr,-1.6,13.38,634.561604,0.31,5.06,4.6,5,8.7,2444.2
Mo0.5NbHf0.5ZrTiSi0.7,-33.39067451,14.53503029,530.306829,0.269467056,9.987340405,4.425531915,6,7.040484702,2051.884324
Al0.75MoNbTiV,-9.351800554,13.33280622,497.3287529,0.232764906,3.863331752,4.684210526,5,6.606534579,1915.290482
Ti25Zr25Ni16.67Co16.67Cu16.67,-29.7219997,13.21207256,396.1143429,0.242639159,10.47752111,7.00029997,5,6.821779186,1524.874804
Al5Nb24Ti40V5Zr26,-6.8576,11.29799536,491.5373168,0.109284766,5.289095698,4.24,5,6.068935026,1878.25911
Fe34Cr34Ni14Al14Co4,-7.5744,12.62984004,379.8481044,0.103058187,4.429915505,7.65,5,7.372379037,1458.906346
Hf0.75NbTa0.5Ti1.5Zr1.25,2.36,12.84151644,557.1020651,0.118594899,4.915964063,4.3,4,8.431908695,2141.385887
Fe28Ni18Mn33Al21,-13.4844,11.29676653,324.7052707,0.14752071,5.708363976,6.98,4,6.482580111,1240.79
Al0.4Hf0.6NbTaTiZr,-6.33,14.5,619.66987,0.12,4.11,4.32,6,9.09,2397.2
Al0.5CoCrFeNi,-9.09,13.15,459.275785,0.11,4.22,7.67,5,7.33,1767.5
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
CoCrFeMnNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
CrMnFeCoNi,-4.16,13.38,467.623384,0.14,0.92,8,5,8.03,1801.2
AlCoCrFeMo0.05Ni2,-11.94453931,13.2671945,361.0007326,0.124400344,5.422491548,7.652892562,6,7.083622569,1389.938697
Fe19.2Co19.2Ni19.2Cr19.2Mn19.2Al4,-6.322176,14.24271136,375.9925115,0.138970293,4.070146924,7.8,6,7.726255054,1453.094657
AlCr0.5NbTiV,-15.40740741,13.14594406,428.7017339,0.037646832,5.232513176,4.444444444,5,5.64713986,1649.838175
CoCrCuFeNi,3.2,13.38,459.257999,0.09,1.07,8.8,5,8.33,1768.95
Al0.3CrFe1.5MnNi,-6.553819444,12.61433915,373.8084995,0.135874227,4.546837188,7.479166667,5,7.385875928,1435.620733
MoNbTaW,-6.5,11.53,825.6503925,0.36,2.27,5.5,4,13.64,3157.75
HfNbTiZr,2.5,11.53,609.5544375,0.13,4.12,4.25,4,8.4,2331.25
HfNbTaTiZr,2.72,13.38,655.02398,0.12,4.01,4.4,5,9.9,2523
AlMo0.5NbTa0.5TiZr,-16.84,14.53,560.6278523,0.22,4.34,4.3,5,7.15,2169.09
