nelements,radius_mean,radius_mean_wtd,radius_std,radius_std_wtd,radius_range,radius_range_wtd,radius_entropy,radius_entropy_wtd,mass_mean,mass_mean_wtd,mass_std,mass_std_wtd,mass_range,mass_range_wtd,mass_entropy,mass_entropy_wtd,valence_mean,valence_mean_wtd,valence_std,valence_std_wtd,valence_range,valence_range_wtd,valence_entropy,valence_entropy_wtd,electronnegativity_mean,electronnegativity_mean_wtd,electronnegativity_std,electronnegativity_std_wtd,electronnegativity_range,electronnegativity_range_wtd,electronnegativity_entropy,electronnegativity_entropy_wtd,firstionization_mean,firstionization_mean_wtd,firstionization_std,firstionization_std_wtd,firstionization_range,firstionization_range_wtd,firstionization_entropy,firstionization_entropy_wtd,shell_range,d_mean,d_ratio,d_unfill
3,1.82,1.5333333333333332,0.5880476171195662,0.3969326839094451,1.2899999999999998,0.4611111111111112,1.0491833328924596,1.029529336002243,100.844,98.36733333333332,37.73570062950999,35.869804212209225,85.03800000000001,52.87722222222222,1.0193787369870038,0.8372064761483533,3.333333333333333,4.222222222222222,1.699673171197595,1.227262335243029,4,2.6666666666666665,0.9433483923290392,0.7351973329063589,1.46,1.74,0.5174939613174244,0.4086563348340509,1.2599999999999998,1.051111111111111,1.0317756984130506,0.7882233957803274,6.443466666666666,7.491133333333334,1.943808060369016,1.509243787096335,4.714499999999999,4.349788888888889,1.0505885539164903,0.8131410096251257,3,6.222222222222222,0.6363636363636364,2.6666666666666665
3,1.4466666666666668,1.3838461538461535,0.1211977264179856,0.0783030072650186,0.29,0.5269230769230769,1.0951387712266232,0.9319856206618232,71.536,81.75907692307692,33.44645228819742,34.244420262984875,73.75399999999999,51.33107692307692,0.9963501137727918,0.760424699518224,4.0,4.384615384615385,0.816496580927726,0.6249260311258431,2,2.076923076923077,1.0775563270668007,0.8569977547780645,1.65,1.7615384615384615,0.2453568829277058,0.1963844797974764,0.5999999999999999,0.7999999999999999,1.087562165799424,0.8732846088533354,6.883866666666666,7.007853846153846,0.3339176778122948,0.3147123561295165,0.7824,2.8847615384615386,1.097445566489165,0.9012312255790278,2,6.076923076923077,0.6752136752136751,3.9230769230769234
2,1.13,0.93,0.6,0.565685424949238,1.2,0.2233333333333333,0.5446725334918512,0.6640290225955775,87.98750000000001,58.99433333333334,86.9795,82.00505903228708,173.959,57.650333333333336,0.0352821723334849,0.0622994851449182,9.0,6.333333333333334,8.0,7.542472332656507,16,4.999999999999999,0.2145591551764051,0.3364957575835161,1.735,1.89,0.4650000000000001,0.4384062043356595,0.9300000000000002,1.0433333333333334,0.6567892751118141,0.5319066761763304,9.51215,10.874233333333333,4.08625,3.8525534461647055,8.1725,7.256966666666667,0.5978058979859129,0.4500074098217539,5,0.3333333333333333,0.0526315789473684,6.0
2,1.13,0.8300000000000001,0.6,0.5196152422706631,1.2,0.0349999999999999,0.5446725334918512,0.6922578183106676,87.98750000000001,44.49775,86.9795,75.32645660846859,173.959,42.98575,0.0352821723334849,0.086079780497437,9.0,5.0,8.0,6.928203230275509,16,3.5,0.2145591551764051,0.4227090878059908,1.735,1.9675,0.4650000000000001,0.402701812759764,0.9300000000000002,1.3325,0.6567892751118141,0.4419384757442747,9.51215,11.555275,4.08625,3.5387963062141625,8.1725,8.842325,0.5978058979859129,0.3616925113831813,5,0.25,0.05,4.5
3,0.9866666666666666,0.8385,0.5301781671182706,0.5160162303648985,1.2,0.3975,0.9628608590205694,0.8348435573689889,63.327333333333335,45.1477,79.11933973575755,75.00379326547424,173.959,43.0414,0.2958580699125003,0.1602718775028595,7.666666666666667,5.2,6.79869268479038,6.867313885355759,16,4.0,0.6915021980540987,0.5807433128100168,2.17,2.0095,0.7229107828771127,0.4639124378586977,1.77,1.388,1.0410499779915925,0.6907521382898031,11.186133333333334,11.60206,4.090973776770296,3.5715322190062904,9.1082,8.792174999999999,1.0230656443325414,0.586836105937736,5,0.25,0.048076923076923,6.75
4,1.21,0.98609756097561,0.388136573901507,0.4460661552641042,1.09,0.3712195121951219,1.3327422890434009,1.144064770325924,79.42975,61.321097560975616,75.74455434674826,77.83798510721778,191.201,43.93302439024389,0.978125075393042,0.7995703003476669,6.5,5.536585365853659,2.692582403567252,1.1913829016409574,7,3.390243902439024,1.307336083298387,0.9799511392897504,2.465,2.9758536585365856,0.5838878316937252,0.5844070399475639,1.54,2.051219512195122,1.359767944503687,0.8540068481828977,9.811975,11.654863414634146,2.5014399226995243,2.6209110722535995,6.2014000000000005,8.115270731707316,1.354716635094109,0.8501469204848883,4,2.439024390243903,0.2257336343115124,0.0
3,1.2133333333333334,1.0258333333333334,0.4375944342526409,0.4587021243561979,1.0699999999999998,0.2241666666666666,1.0301871753712255,1.055684218379075,71.199,53.841166666666666,50.94946016069912,51.46103286603261,122.906,25.3935,0.8289033653260556,0.8964873365896928,6.333333333333334,5.916666666666667,2.867441755680876,2.215789300051388,7,2.75,0.9932682101499608,0.9292743751398048,2.1500000000000004,2.6,0.9702576977277736,1.02637712367336,2.34,1.731666666666667,0.9972847429500034,0.6946690505663412,8.944933333333335,10.611416666666669,3.410059053577942,3.6168713240482058,8.0412,6.670591666666668,1.028400819532434,0.7378356629874684,4,1.5833333333333333,0.2676056338028169,2.916666666666667
3,1.2133333333333334,1.075,0.4375944342526409,0.4483581157958445,1.0699999999999998,0.12,1.0301871753712255,1.087997960333412,71.199,57.399,50.94946016069912,50.1817259368388,122.906,26.72675,0.8289033653260556,0.9273600371920904,6.333333333333334,6.25,2.867441755680876,2.48746859276655,7,2.25,0.9932682101499608,0.9732531211321692,2.1500000000000004,2.4725,0.9702576977277736,1.00899392961504,2.34,1.4449999999999998,0.9972847429500034,0.814304255290849,8.944933333333335,10.113225,3.410059053577942,3.5799571669050736,8.0412,5.414825,1.028400819532434,0.8542979133936035,4,2.25,0.36,3.25
2,1.13,0.6390909090909092,0.6,0.3449757447456413,1.2,0.3245454545454545,0.5446725334918512,0.5579966367358649,69.9565,13.544090909090908,68.9485,39.64260022765809,137.897,11.711363636363638,0.0427185268297257,0.2475378736513979,2.0,1.1818181818181817,1.0,0.5749595745760689,2,0.6363636363636364,0.5623351446188083,0.5402041423888608,1.65,2.1,0.55,0.3162277660168379,1.1,1.9,0.6365141682948128,0.1914440819577173,9.58765,12.869172727272728,4.01075,2.3060191137309687,8.0215,11.855190909090908,0.6029000357778588,0.1660190804948934,5,0.0909090909090909,0.0769230769230769,1.6363636363636365
2,1.4,1.41,0.0299999999999999,0.0282842712474618,0.0599999999999998,0.4966666666666666,0.6929175711491787,0.6297574160842663,155.72,146.34666666666666,28.120000000000005,26.511790249287625,56.24000000000001,23.78666666666666,0.6767527263164891,0.6798793498069866,6.0,6.0,0.0,0.0,0,2.0,0.6931471805599453,0.6365141682948128,2.23,2.1866666666666665,0.1299999999999999,0.1225651754056681,0.2599999999999998,0.6133333333333333,0.6914470070947,0.6532777329645801,8.4368,8.627733333333333,0.5728000000000004,0.5400410190182063,1.1456000000000008,3.385066666666667,0.6908406742487989,0.6140716430151398,2,8.0,0.4615384615384614,2.0
