化学式,dHmix,dSmix,dGmix,电子数差,原子尺寸差,电子浓度,元素种类,密度,熔点,硬度
V10Cr15Mn5Fe35Co10Ni25,-6.26,13.37699643,403.4622915,0.113643082,2.403624139,7.95,6,7.871764882,1554.05548,3.904556099
VCrFeTa0.1W0.1,-4.83203125,10.86752061,498.0660943,0.147477488,3.597630783,6.28125,5,7.904708836,1900.073304,4.887706188
VCrFeTa0.3W0.3,-5.410493827,12.31867362,556.5607513,0.210254842,4.551487962,6.194444444,5,9.321052015,2135.04423,5.483003895
VCrFeTa0.4W0.4,-5.628808864,12.70370305,578.667977,0.230952502,4.820751784,6.157894737,5,9.888782982,2223.134223,5.633883519
VNbMoTaW,-4.64,13.38,769.197496,0.34,3.21,5.4,5,12.36,2962.8,8.54
VNbMoTaW,-4.64,13.38,769.197496,0.34,3.21,5.4,5,12.36,2962.8,8.54
VNbMoTaW,-4.64,13.38,769.197496,0.34,3.21,5.4,5,12.36,2962.8,8.54
VNbMoTaW,-4.64,13.38,769.197496,0.34,3.21,5.4,5,12.36,2962.8,8.54
VNbMoTaW,-4.64,13.38,769.197496,0.34,3.21,5.4,5,12.36,2962.8,8.54
VNbMoTaW,-4.64,13.38,769.197496,0.34,3.21,5.4,5,12.36,2962.8,8.54
W0.16NbMoTa,-5.367729531,10.3378776,717.0456022,0.312691537,2.262966135,5.367088608,4,12.23957284,2729.936709,5.78373829
W0.33NbMoTa,-5.753501249,10.91555652,724.5672231,0.329930963,2.287751991,5.399399399,4,12.57506278,2764.654655,5.763330357
W0.53NbMoTa,-6.083027711,11.27956173,733.1299537,0.344459613,2.30459934,5.433427762,4,12.93135648,2801.21813,5.700701487
Zr2.0TiHfVNb2.0,1.469387755,12.88596992,537.1529873,0.137410453,6.802239355,4.428571429,5,7.872809981,2065.061688,20.50522428
Zr2.0TiHfVNb2.0,1.469387755,12.88596992,537.1529873,0.137410453,6.802239355,4.428571429,5,7.872809981,2065.061688,20.50522428
Zr2.0TiHfVNb2.0,1.469387755,12.88596992,537.1529873,0.137410453,6.802239355,4.428571429,5,7.872809981,2065.061688,20.50522428
Zr2.0TiHfVNb2.0,1.469387755,12.88596992,537.1529873,0.137410453,6.802239355,4.428571429,5,7.872809981,2065.061688,20.50522428
ZrTiHfCuNiFe,-24.77777778,14.8975162,431.3592945,0.257601113,10.92413122,6.833333333,6,8.436944231,1671.367381,1.169131447
ZrTiHfNb0.5Mo0.5,-2.125,12.96707842,540.3628201,0.270497227,5.703787685,4.375,5,8.569015185,2078.063584,14.34746867
ZrTiHfNb0.5Mo0.5,-2.125,12.96707842,540.3628201,0.270497227,5.703787685,4.375,5,8.569015185,2078.063584,14.34746867
ZrTiHfNb0.5Mo0.5,-2.125,12.96707842,540.3628201,0.270497227,5.703787685,4.375,5,8.569015185,2078.063584,14.34746867
ZrTiHfNb0.5Ta0.5,0.875,12.96707842,562.4439913,0.118215904,4.862116278,4.25,5,9.309718284,2162.968877,36.102108
ZrTiHfNb0.5Ta0.5,0.875,12.96707842,562.4439913,0.118215904,4.862116278,4.25,5,9.309718284,2162.968877,36.102108
ZrTiHfNb0.5Ta0.5,0.875,12.96707842,562.4439913,0.118215904,4.862116278,4.25,5,9.309718284,2162.968877,36.102108
ZrTiHfNb0.5Ta0.5,0.875,12.96707842,562.4439913,0.118215904,4.862116278,4.25,5,9.309718284,2162.968877,36.102108
ZrTiHfV0.5Nb0.5,0.4375,12.96707842,523.6762156,0.134530433,6.440523166,4.25,5,8.190507447,2013.882607,67.78544264
ZrTiHfV0.5Nb0.5,0.4375,12.96707842,523.6762156,0.134530433,6.440523166,4.25,5,8.190507447,2013.882607,67.78544264
ZrTiHfV0.5Nb0.5,0.4375,12.96707842,523.6762156,0.134530433,6.440523166,4.25,5,8.190507447,2013.882607,67.78544264
ZrTiHfV0.5Nb0.5,0.4375,12.96707842,523.6762156,0.134530433,6.440523166,4.25,5,8.190507447,2013.882607,67.78544264
